,alpha,beta,gamma,tau,scf_bc,nn_scf_bc
805,8.0,0.36,16.0,0.43,2.049476346,1.9661869
806,14.0,0.65,30.0,0.65,0.9278436274,0.8871291
807,10.0,0.61,27.0,0.77,1.051014834,1.0169563
808,8.02,0.3,16.71,0.34,2.42030225,2.363619
809,9.0,0.53,25.0,0.58,1.475142378,1.3706352
810,7.19,0.49,23.87,0.75,1.390501048,1.4935937
811,5.0,0.34,20.0,0.54,2.143461077,2.208053
812,8.75,0.31,19.41,0.39,2.377629543,2.2826219
813,5.0,0.33,27.0,0.39,2.698306505,3.1165714
814,11.0,0.64,28.0,0.71,1.087423005,1.0563799
815,7.57,0.55,24.29,0.63,1.545393388,1.6097447
816,8.0,0.56,23.0,0.65,1.493460337,1.4033315
817,9.0,0.4,18.0,0.4,2.002429472,2.0100543
818,7.0,0.37,30.0,0.55,1.858137441,2.2817352
819,7.0,0.42,18.0,0.48,1.928261201,1.7950188
820,9.0,0.34,27.0,0.39,2.249614719,2.2012002
821,5.0,0.41,19.0,0.55,2.128488081,2.2327929
822,8.0,0.32,27.0,0.36,2.44468857,2.3711057
823,9.0,0.39,22.0,0.41,2.034956235,2.0471904
824,6.0,0.44,25.0,0.57,1.929631448,2.287145
825,27.0,0.36,10.0,0.81,1.396331285,0.65690035
826,38.0,0.68,31.0,0.8,0.9965017422,1.0311933
827,4.0,0.62,26.0,0.62,2.972925756,2.4877145
828,39.08,0.24,27.13,0.68,1.469563599,1.4051847
829,4.36,0.52,28.84,0.67,2.97950883,2.6783037
830,25.0,0.28,27.0,0.7,1.333666156,1.253295
831,4.0,0.57,23.0,0.74,2.758963937,2.5243444
832,30.38,0.28,27.78,0.65,1.573876309,1.5261028
833,38.0,0.65,10.0,0.9,1.882131705,1.925471
834,22.0,0.23,24.0,0.68,1.33695652,1.273429
835,12.0,0.2,31.0,0.75,1.403082879,1.102071
836,37.0,0.65,19.0,0.94,1.377161758,1.4287622
837,12.0,0.2,8.0,0.32,2.188340922,1.5800517
838,27.0,0.7,21.0,0.79,1.297605561,1.3517148
839,19.0,0.7,20.0,0.8,1.122665289,1.2391771
840,36.0,0.2,11.0,0.26,2.788018732,2.450306
841,29.0,0.69,20.0,0.79,1.358199138,1.4285098
842,37.73,0.42,25.33,0.62,1.210694507,1.282075
843,28.0,0.62,26.0,0.71,0.9219340282,0.9352028
844,31.0,0.53,23.0,0.7,1.032843098,1.0633401
845,38.0,0.52,11.0,0.76,1.497647568,1.6006134
846,40.0,0.39,30.0,0.54,1.284810491,1.2015547
847,29.0,0.28,22.0,0.65,1.415975962,1.4467839
848,28.0,0.62,20.0,0.78,1.188002033,1.2018735
849,34.81,0.34,21.8,0.64,1.497909866,1.4783493
850,35.0,0.49,21.0,0.69,1.240300727,1.2706678
851,39.0,0.42,27.0,0.57,1.2656759,1.2824345
852,33.0,0.65,20.0,0.83,1.330926707,1.4014171
853,22.0,0.52,25.0,0.68,0.8280225944,0.8829585
854,5.0,0.2,30.0,0.3,3.83609405,3.5145068
855,34.0,0.65,31.0,0.65,0.8966325148,0.9278115
856,14.0,0.69,23.0,0.84,0.9071086068,0.9419604
857,37.0,0.25,12.0,0.45,1.685037991,1.7060344
858,30.0,0.24,27.0,0.44,2.685653092,2.4708803
859,29.42,0.28,17.84,0.64,1.340479974,1.2595989
860,31.0,0.49,26.0,0.59,1.076221073,1.0749795
861,31.2,0.31,17.73,0.63,1.389239263,1.4206513
862,28.61,0.33,25.36,0.55,1.778468221,1.7871668
863,20.0,0.35,28.0,0.55,1.544838812,1.6528767
864,33.0,0.66,14.0,0.77,1.729511872,1.7640141
865,19.0,0.44,21.0,0.63,1.236217787,1.2395782
866,31.0,0.54,15.0,0.71,1.449625525,1.4266119
867,28.0,0.5,23.0,0.6,1.199045884,1.2239535
868,38.67,0.25,24.29,0.48,2.371810465,2.2295187
869,37.0,0.25,11.0,0.35,2.040342097,2.0858107
870,28.0,0.37,30.0,0.5,1.462990722,1.4910983
871,22.93,0.5,15.02,0.72,1.233380558,1.2490526
872,20.0,0.58,17.0,0.77,1.109759888,1.0262258
873,39.0,0.37,30.0,0.46,1.611968328,1.6059102
874,20.0,0.22,21.0,0.39,2.54408157,2.4862714
875,21.0,0.5,8.0,0.69,1.316064033,1.3259245
876,30.0,0.34,28.0,0.48,1.783030815,1.8010039
877,24.0,0.43,32.0,0.46,1.127554537,1.1587938
878,32.0,0.57,17.0,0.69,1.463932684,1.440073
879,28.0,0.44,11.0,0.63,1.397900566,1.5088028
880,31.42,0.59,19.28,0.64,1.398990986,1.3786527
881,24.0,0.47,17.0,0.67,1.302919222,1.2965803
882,26.0,0.69,9.0,0.76,1.826020139,1.8426197
883,21.0,0.55,13.0,0.71,1.326869309,1.3758897
884,31.0,0.22,16.0,0.28,2.689042517,2.772282
885,38.0,0.43,22.0,0.53,1.584153323,1.6585281
886,8.38,0.68,19.8,0.92,1.230515805,1.1461607
887,17.0,0.43,21.0,0.6,1.324409029,1.361133
888,19.0,0.6,23.0,0.63,1.034516482,1.092715
889,16.0,0.46,26.0,0.63,0.9437098913,1.0460905
890,31.0,0.28,16.0,0.48,1.863002303,1.8135756
891,5.55,0.67,24.32,0.9,1.986106517,1.7137222
892,39.94,0.52,25.46,0.53,1.296202437,1.2988971
893,39.0,0.35,8.0,0.4,1.85841482,1.9900348
894,21.76,0.61,11.51,0.71,1.476347159,1.4819711
895,12.0,0.58,12.0,0.77,1.116257276,1.1343443
896,15.0,0.21,17.0,0.3,2.626742141,2.76067
897,29.0,0.41,22.0,0.52,1.579415122,1.6469935
898,14.0,0.2,16.0,0.27,2.705316229,2.941721
899,18.0,0.47,13.0,0.67,1.246841823,1.3098902
900,35.06,0.48,19.63,0.57,1.556542502,1.5562211
901,13.0,0.23,23.0,0.61,1.692743131,1.5742258
902,27.0,0.56,16.0,0.67,1.432578917,1.4422362
903,29.0,0.5,13.0,0.62,1.54622878,1.5972469
904,37.0,0.51,17.0,0.61,1.608263384,1.6137542
905,14.0,0.3,19.0,0.61,1.455544188,1.5369949
906,32.0,0.32,12.0,0.42,1.855430269,2.0001464
907,15.89,0.48,15.17,0.68,1.204293804,1.2990136
908,38.0,0.28,24.0,0.39,2.594008506,2.3542228
909,21.0,0.61,14.0,0.7,1.396609467,1.4040307
